Title,GPT or Web,bias / sensationalism score,Author,Publisher,keyword,link,Sensation Score
CDC investigating hospitalizations of five people who recently received chikungunya vaccine,web recommended,,Jacqueline Howard,CNN,vaccine,https://www.cnn.com/2025/02/26/health/chikungunya-vaccine-cdc-investigating-hospitalizations/index.html,0.0
CDC seems to defy Trump executive order by participating in WHO vaccine conference,web recommended,,Stephen Sorace,FOX News,vaccine,https://www.foxnews.com/politics/cdc-seems-defy-trump-executive-order-participating-who-vaccine-conference,9.310634720470785e-05
"Meeting of US FDA vaccine advisers canceled, committee member says",web recommended,,"Dan Levine, Michael Erman",Reuters,vaccine,https://www.reuters.com/business/healthcare-pharmaceuticals/meeting-us-fda-vaccine-advisors-canceled-committee-member-says-2025-02-26/,0.005810120862601697
Vaccine meeting to prepare for coming winter’s flu season canceled,web recommended,,"Lena H. Sun, Rachel Roubein",The Washington Post,vaccine,https://www.washingtonpost.com/health/2025/02/26/fda-cancels-vaccine-meeting-flu/,0.0
Measles Outbreaks in the U.S. Highlight the Importance of Vaccination,web recommended,,Aliza Rosen,John's Hopkins Bloomberg School of Public Health,vaccine,https://publichealth.jhu.edu/2025/what-to-know-about-measles-and-vaccines,0.02398655281337877
FDA cancels pivotal advisory meeting about next season's flu vaccine,web recommended,,"Youri Benadjaoud, Sony Salzman, Eric M. Strauss, Dr. Mark Abdelmalek",ABC News,vaccine,https://abcnews.go.com/US/fda-cancels-pivotal-advisory-meeting-seasons-flu-vaccine/story?id=119234794,0.0
FDA cancels vaccine advisory committee meetin,web recommended,,Lizzy Lawrence,STAT,vaccine,https://www.statnews.com/2025/02/26/fda-cancels-vaccine-advisory-committee-meeting/,0.0
Do you need a measles vaccine booster? What to know as a Texas outbreak spreads,web recommended,,Sara Moniuszko,CBS News,vaccine,https://www.cbsnews.com/news/measles-vaccine-booster-what-to-know/,0.0
First doses announced in phase 2 trial for TB vaccine candidate,web recommended,,Chris Dall,CIDRAP,vaccine,https://www.cidrap.umn.edu/tuberculosis/first-doses-announced-phase-2-trial-tb-vaccine-candidate,0.0
Who Are the Mennonites and Why Are They Facing a Measles Outbreak?,web recommended,,Peter Smith,TIME,vaccine,https://time.com/7262199/mennonites-measles-outbreak-texas-vaccines-explainer/,0.23551880555349441
FDA cancels meeting to update next season's flu vaccines,web recommended,,Alexander Tin,CBS News,vaccine,https://www.cbsnews.com/news/fda-cancels-flu-vaccine-meeting/,0.0
Childhood vaccines: What research shows about their safety and potential side effects,web recommended,,Naseem S. Miller,The Journalist's Resource,vaccine,https://journalistsresource.org/home/childhood-vaccines-what-the-research-says-about-their-safety-and-side-effects/,0.0
Texas reports first death in measles outbreak,web recommended,,Stephanie Soucheray,CIDRAP,vaccine,cidrap.umn.edu/measles/texas-reports-first-death-measles-outbreak,0.0
Vaccine interest increasing in Austin as measles outbreak in West Texas worsens,web recommended,,Brianna Perez,KVUE ABC,vaccine,https://www.kvue.com/article/news/health/austin-vaccine-interest-increasing-measles-outbreak-west-texas-worsens/269-a1990013-bf62-4485-93b4-8fd99abdbf15,0.0
Measles death of unvaccinated child in Texas outbreak is 1st fatality in US in a decade,web recommended,,Mary Kekatos,ABC News,vaccine,https://abcnews.go.com/Health/1st-measles-death-linked-outbreak-texas-confirmed-child/story?id=119208967,0.0
The political rise of the anti-vax movement,GPT recommended,,,Financial Times,vaccine,https://www.ft.com/content/d4199db2-01c1-4260-ac60-0f547a6a2fbe?utm_source=chatgpt.com,0.0
VAX HORROR Traumatized Scots 'gaslit' by health bosses after horror complications from Covid vaccine,GPT recommended,,Sian Maher,The Scottish Sun,vaccine,https://www.thescottishsun.co.uk/news/14028072/covid-vaccine-injuries-horror-complications-coronavirus/?utm_source=chatgpt.com,0.05044560205741399
State lawmakers are pushing for vaccine exemptions even as childhood vaccination rates fall,GPT recommended,," Susan Haigh, Devi Shastri",AP News,vaccine,https://apnews.com/article/vaccines-whooping-cough-rfk-measles-exemptions-covid-27dae6f61505ef1953ca869a78c71942?utm_source=chatgpt.com,0.0
